Lagareira, 249. 
Lagoa, 381. 
Lagoa Comprida, 197. 
Lagos, 383-386. 
Lama, 100, 319.
Lamego, 187-189, 288.
Lanhoso, 102.
Lavre, 320. 
Leça do Bailio, 64.
Leiria, 234, 236-237, 245, 374.
Lindoso, 48, 88, 126.
Linhares, 168-170.
Lisboa, 64, 149, 200, 224, 264, 276, 287-288, 290, 296, 298, 302-305, 317, 333, 335.
Lobrigos, 47.
Longos Vales, 86, 320.
Longroiva, 171. 
Lorvão, 147-148, 151.
Lotão, 382. 
Loulé, 378, 385.
Lourinhã, 277. 
Lousa, 145. 
Luz (de Tavira), 371-372. 
Maçãs de D. Maria, 20. 
Mafra, 278-280, 297, 303. 
Magueija, 185
Maiorca, 130. 
Maiorga, 237, 241.
Malhadas, 19, 22.
Mamarrosa, 127. 
Mangualde, 180.
Manhente, 100.
Manhufe, 49.
Manteigas, 197.
Marco de Canaveses, 52.
Marialva, 171, 173, 180, 297.
Marinha Grande, 234-235.
Marvão, 324-325. 
Mateus, 43. 
Matosinhos, 64-65.
Meadas, 325.
Meca, 264. 
Meda, 171.
Medelim, 204.
Melgaço, 83-84, 86.
Merceana, 264.
Mértola, 362, 366, 368.
Merufe, 86.
Mesão Frio, 47.
Mezio, 185. 
Milreu, 373, 376.
Mira, 128-129.
Miranda do Douro, 16-18, 27, 34, 189.
Mirandela, 28.
Mire de Tibães, 96.
Mogadouro, 23, 27.
Moimenta da Beira, 195.
Moita, 306. 
Moitas, 249. 
Monção, 82-83, 86. 
Mondim de Basto, 56, 59.
Monforte, 328, 331. 
Monfortinho, 201, 203.
Monsanto, 201-202, 204-206, 217, 297, 325.
Monsaraz, 348-350, 368.
Monserrate (Sintra), 281, 286.
Montalvo, 223.
Montargil, 320.
Monte Gordo, 377.
Montemor-o-Novo, 313, 315.
Montemor-o-Velho, 130, 132-134, 136.
Montijo, 306. 
Mora, 319-320.
Moreira de Rei, 171, 173.
Moura, 351.
Moura Morta, 185.
Mourão. 350-351.
Mourisca, 311.
Murça, 40, 42. 
Murtosa, 120.
Nave de Santo António, 198.
Nazaré, 237, 241.
Nexe, 382.
Nisa, 325.
Nossa Senhora da Orada, 83-84.
Nossa Senhora dos Degolados, 331.
Óbidos, 268-269, 274, 291.
Odeleite, 382.
Odemira, 387.
Odiáxere, 382.  
Ofir, 72.
Oiã, 126.
Oleiros, 219.
Olhão, 372.
Olhos de Água, 377.
Olival Basto, 249.
Olival d'El-Rei, 249.
Olival da Palha, 249.
Oliveira de Azeméis, 150.
Oliveira do Bairro, 126.
Oriola, 359.
Ota, 266. 
Ouguela, 331.
Ourém, 231-232, 245.
Ourondo, 208.
Outeiro Seco, 38. 
Ovar, 119.
Paço de Sousa, 107-109
Paços de Ferreira, 106-107. 
Paços de Lalim, 195. 
Pademe, 382. 
Padim da Graça, 97.
Pai Penda, 171.
Palheiros de Mira, 128.
Palmela, 306, 308
Panasqueira, 209. 
Panchorra, 185.
Parada de Cunhos, 47. 
Paredes, 107.
Paredes de Coura, 79.
Pavia, 317-318. 
Paul, 208. 
Pedome, 106.
Pedralva, 61.
Pena (Sintra), 283, 286.
Penacova, 144, 147.
Penamacor, 200, 351
Penha Garcia, 201. 
Penhas da Saúde, 197-198.
Peniche, 217-272.
Penude, 185.
Pêra do Moço, 161, 
Peso da Régua, 46-47, 79.
Pêro de Lagarelhos, 40.
Pias, 352.
Picão, 185. 
Pinheiro, 184.
Pinheiros, 82.
Pinhel, 157-158, 161.
Pisões, 362.
Pocariça, 127.
Pombeiro de Ribavizela, 54.
Ponta do Altar, 382.
Ponta João de Arães, 377.
Ponte da Barca, 88. 
Ponte de Lima, 79-80.
Ponte do Rol, 261.  -
Ponte de Sor, 320. 
Porches, 382.
Portalegre, 325-326, 328. 
Portel, 359.
Portela do Homem, 103. 
Portimão, 382-383.
Portinho da Arrábida, 308-309. 
Porto, 38, 64, 106, 108-109, 111, 114-115.
Porto de Mós, 245.
Pousafoles do Bispo, 161.
Póvoa (povoação do Alto Alentejo), 325, 351.
Póvoa (povoação do Baixo Alentejo), 351.
Póvoa do Concelho, 173.
Póvoa de Lanhoso, 104.
Póvoa de Varzim, 69, 71.
Praia das Maçãs, 281.
Praia da Rocha, 382.
Praias do Sado, 311.
Proença-a-Velha, 206.
Punhete, 224. 
Queimada, 53, 126, 161.
Quelfes, 382.
Queluz, 288, 338
Quintiães, 73. 
Ranhados, 20. 
Raposeira, 386
Rates, 71-72, 196. 
Real, 96-97, 196. 
Rebordelo, 38. 
Rebordões, 106.
Rebordosa, 147.
Redondo, 342. 
Refojos de Basto, 56.
Reguengos de Monsaraz, 348-349.
Rendufe (Ponte de Lima), 79.
Rendufe (Amares), 101.
Renfe, 106.
Riachos, 247.
Rio de Onor, 29-33, 36, 58, 67.
Rio Mau, 68-69, 72, 196.
Romarigães, 79, 81.
